Num,Name,Region,Type_Primary,Type_Secondary
1,Bulbasaur,Kanto,12,4
2,Ivysaur,Kanto,12,4
3,Venusaur,Kanto,12,4
4,Charmander,Kanto,10,
5,Charmeleon,Kanto,10,
6,Charizard,Kanto,10,3
7,Squirtle,Kanto,11,
8,Wartortle,Kanto,11,
9,Blastoise,Kanto,11,
10,Caterpie,Kanto,7,
11,Metapod,Kanto,7,
12,Butterfree,Kanto,7,3
13,Weedle,Kanto,7,4
14,Kakuna,Kanto,7,4
15,Beedrill,Kanto,7,4
16,Pidgey,Kanto,1,3
17,Pidgeotto,Kanto,1,3
18,Pidgeot,Kanto,1,3
19,Rattata,Kanto,1,
20,Raticate,Kanto,1,
21,Spearow,Kanto,1,3
22,Fearow,Kanto,1,3
23,Ekans,Kanto,4,
24,Arbok,Kanto,4,
25,Pikachu,Kanto,13,
26,Raichu,Kanto,13,
27,Sandshrew,Kanto,5,
28,Sandslash,Kanto,5,
29,Nidoran,Kanto,4,
30,Nidorina,Kanto,4,
31,Nidoqueen,Kanto,4,5
32,Nidoran,Kanto,4,
33,Nidorino,Kanto,4,
34,Nidoking,Kanto,4,5
35,Clefairy,Kanto,18,
36,Clefable,Kanto,18,
37,Vuplix,Kanto,10,
38,Ninetales,Kanto,10,
39,Jigglypuff,Kanto,1,18
40,WigglyTuff,Kanto,1,18
41,Zubat,Kanto,4,3
42,Golbat,Kanto,4,3
43,Oddish,Kanto,12,4
44,Gloom,Kanto,12,4
45,Vileplume,Kanto,12,4
46,Paras,Kanto,7,12
47,Parasect,Kanto,7,12
48,Venonat,Kanto,7,4
49,Venomoth,Kanto,7,4
50,Diglett,Kanto,5,
51,Dugtrio,Kanto,5,
52,Meowth,Kanto,1,
53,Persian,Kanto,1,
54,Psyduck,Kanto,11,
55,Golduck,Kanto,11,
56,Mankey,Kanto,2,
57,Primeape,Kanto,2,
58,Growlithe,Kanto,10,
59,Arcanine,Kanto,10,
60,Poliwag,Kanto,11,
61,Poliwhirl,Kanto,11,
62,Poliwrath,Kanto,11,2
63,Abra,Kanto,14,
64,Kadabra,Kanto,14,
65,Alakazam,Kanto,14,
66,Machop,Kanto,2,
67,Machoke,Kanto,2,
68,Machamp,Kanto,2,
69,Bellsprout,Kanto,12,4
70,Weepinbell,Kanto,12,4
71,Victreebel,Kanto,12,4
72,Tentacool,Kanto,11,4
73,Tentacruel,Kanto,11,4
74,Geodude,Kanto,6,5
75,Graveler,Kanto,6,5
76,Golem,Kanto,6,5
77,Ponyta,Kanto,10,
78,Rapidash,Kanto,10,
79,Slowpoke,Kanto,11,14
80,Slowbro,Kanto,11,14
81,Magnemite,Kanto,13,9
82,Magneton,Kanto,13,9
83,Farfetch'd,Kanto,1,3
84,Doduo,Kanto,1,3
85,Dodrio,Kanto,1,3
86,Seel,Kanto,11,
87,Dewgong,Kanto,11,15
88,Grimer,Kanto,4,
89,Muk,Kanto,4,
90,Shellder,Kanto,11,
91,Cloyster,Kanto,11,15
92,Gastly,Kanto,8,4
93,Haunter,Kanto,8,4
94,Gengar,Kanto,8,4
95,Onix,Kanto,6,5
96,Drowzee,Kanto,14,
97,Hypno,Kanto,14,
98,Krabby,Kanto,11,
99,Kingler,Kanto,11,
100,Voltorb,Kanto,13,
101,Electrode,Kanto,13,
102,Exeggute,Kanto,12,14
103,Exeggutor,Kanto,12,14
104,Cubone,Kanto,5,
105,Marowak,Kanto,5,
106,Hitmonlee,Kanto,2,
107,Hitmonchan,Kanto,2,
108,Lickitung,Kanto,1,
109,Koffing,Kanto,4,
110,Weezing,Kanto,4,
111,Rhyhorn,Kanto,5,6
112,Rhydon,Kanto,5,6
113,Chansey,Kanto,1,
114,Tangela,Kanto,12,
115,Kangaskhan,Kanto,1,
116,Horsea,Kanto,11,
117,Seadra,Kanto,11,
118,Goldeen,Kanto,11,
119,Seaking,Kanto,11,
