Num,Name,Region,Type_Primary,Type_Secondary
1,Bulbasaur,Kanto,12,4
2,Ivysaur,Kanto,12,4
3,Venusaur,Kanto,12,4
4,Charmander,Kanto,10,0
5,Charmeleon,Kanto,10,0
6,Charizard,Kanto,10,3
7,Squirtle,Kanto,11,0
8,Wartortle,Kanto,11,0
9,Blastoise,Kanto,11,0
10,Caterpie,Kanto,7,0
11,Metapod,Kanto,7,0
12,Butterfree,Kanto,7,3
13,Weedle,Kanto,7,4
14,Kakuna,Kanto,7,4
15,Beedrill,Kanto,7,4
16,Pidgey,Kanto,1,3
17,Pidgeotto,Kanto,1,3
18,Pidgeot,Kanto,1,3
19,Rattata,Kanto,1,0
20,Raticate,Kanto,1,0
21,Spearow,Kanto,1,3
22,Fearow,Kanto,1,3
23,Ekans,Kanto,4,0
24,Arbok,Kanto,4,0
25,Pikachu,Kanto,13,0
26,Raichu,Kanto,13,0
27,Sandshrew,Kanto,5,0
28,Sandslash,Kanto,5,0
29,Nidoran,Kanto,4,0
30,Nidorina,Kanto,4,0
31,Nidoqueen,Kanto,4,5
32,Nidoran,Kanto,4,0
33,Nidorino,Kanto,4,0
34,Nidoking,Kanto,4,5
35,Clefairy,Kanto,18,0
36,Clefable,Kanto,18,0
37,Vuplix,Kanto,10,0
38,Ninetales,Kanto,10,0
39,Jigglypuff,Kanto,1,18
40,WigglyTuff,Kanto,1,18
41,Zubat,Kanto,4,3
42,Golbat,Kanto,4,3
43,Oddish,Kanto,12,4
44,Gloom,Kanto,12,4
45,Vileplume,Kanto,12,4
46,Paras,Kanto,7,12
47,Parasect,Kanto,7,12
48,Venonat,Kanto,7,4
49,Venomoth,Kanto,7,4
50,Diglett,Kanto,5,0
51,Dugtrio,Kanto,5,0
52,Meowth,Kanto,1,0
53,Persian,Kanto,1,0
54,Psyduck,Kanto,11,0
55,Golduck,Kanto,11,0
56,Mankey,Kanto,2,0
57,Primeape,Kanto,2,0
58,Growlithe,Kanto,10,0
59,Arcanine,Kanto,10,0
60,Poliwag,Kanto,11,0
61,Poliwhirl,Kanto,11,0
62,Poliwrath,Kanto,11,2
63,Abra,Kanto,14,0
64,Kadabra,Kanto,14,0
65,Alakazam,Kanto,14,0
66,Machop,Kanto,2,0
67,Machoke,Kanto,2,0
68,Machamp,Kanto,2,0
69,Bellsprout,Kanto,12,4
70,Weepinbell,Kanto,12,4
71,Victreebel,Kanto,12,4
72,Tentacool,Kanto,11,4
73,Tentacruel,Kanto,11,4
74,Geodude,Kanto,6,5
75,Graveler,Kanto,6,5
76,Golem,Kanto,6,5
77,Ponyta,Kanto,10,0
78,Rapidash,Kanto,10,0
79,Slowpoke,Kanto,11,14
80,Slowbro,Kanto,11,14
81,Magnemite,Kanto,13,9
82,Magneton,Kanto,13,9
83,Farfetch'd,Kanto,1,3
84,Doduo,Kanto,1,3
85,Dodrio,Kanto,1,3
86,Seel,Kanto,11,0
87,Dewgong,Kanto,11,15
88,Grimer,Kanto,4,0
89,Muk,Kanto,4,0
90,Shellder,Kanto,11,0
91,Cloyster,Kanto,11,15
92,Gastly,Kanto,8,4
93,Haunter,Kanto,8,4
94,Gengar,Kanto,8,4
95,Onix,Kanto,6,5
96,Drowzee,Kanto,14,0
97,Hypno,Kanto,14,0
98,Krabby,Kanto,11,0
99,Kingler,Kanto,11,0
100,Voltorb,Kanto,13,0
101,Electrode,Kanto,13,0
102,Exeggute,Kanto,12,14
103,Exeggutor,Kanto,12,14
104,Cubone,Kanto,5,0
105,Marowak,Kanto,5,0
106,Hitmonlee,Kanto,2,0
107,Hitmonchan,Kanto,2,0
108,Lickitung,Kanto,1,0
109,Koffing,Kanto,4,0
110,Weezing,Kanto,4,0
111,Rhyhorn,Kanto,5,6
112,Rhydon,Kanto,5,6
113,Chansey,Kanto,1,0
114,Tangela,Kanto,12,0
115,Kangaskhan,Kanto,1,0
