ID,Name,Region
1,Bulbasaur,Kanto
2,Ivysaur,Kanto
3,Venusaur,Kanto
4,Charmander,Kanto
5,Charmeleon,Kanto
6,Charizard,Kanto
7,Squirtle,Kanto
8,Wartortle,Kanto
9,Blastoise,Kanto
10,Caterpie,Kanto
11,Metapod,Kanto
12,Butterfree,Kanto
13,Weedle,Kanto
14,Kakuna,Kanto
15,Beedrill,Kanto
16,Pidgey,Kanto
17,Pidgeotto,Kanto
18,Pidgeot,Kanto
19,Rattata,Kanto
20,Raticate,Kanto
21,Spearow,Kanto
22,Fearow,Kanto
23,Ekans,Kanto
24,Arbok,Kanto
25,Pikachu,Kanto
26,Raichu,Kanto
27,Sandshrew,Kanto
28,Sandslash,Kanto
29,Nidoran,Kanto
30,Nidorina,Kanto
31,Nidoqueen,Kanto
32,Nidoran,Kanto
33,Nidorino,Kanto
34,Nidoking,Kanto
35,Clefairy,Kanto
36,Clefable,Kanto
37,Vuplix,Kanto
38,Ninetales,Kanto
39,Jigglypuff,Kanto
40,WigglyTuff,Kanto
41,Zubat,Kanto
42,Golbat,Kanto
43,Oddish,Kanto
44,Gloom,Kanto
45,Vileplume,Kanto
46,Paras,Kanto
47,Parasect,Kanto
48,Venonat,Kanto
49,Venomoth,Kanto
50,Diglett,Kanto
51,Dugtrio,Kanto
52,Meowth,Kanto
53,Persian,Kanto
54,Psyduck,Kanto
55,Golduck,Kanto
56,Mankey,Kanto
57,Primeape,Kanto
58,Growlithe,Kanto
59,Arcanine,Kanto
60,Poliwag,Kanto
61,Poliwhirl,Kanto
62,Poliwrath,Kanto
63,Abra,Kanto
64,Kadabra,Kanto
65,Alakazam,Kanto
66,Machop,Kanto
67,Machoke,Kanto
68,Machamp,Kanto
69,Bellsprout,Kanto
70,Weepinbell,Kanto
71,Victreebel,Kanto
72,Tentacool,Kanto
73,Tentacruel,Kanto
74,Geodude,Kanto
75,Graveler,Kanto
76,Golem,Kanto
77,Ponyta,Kanto
78,Rapidash,Kanto
79,Slowpoke,Kanto
80,Slowbro,Kanto
81,Magnemite,Kanto
82,Magneton,Kanto
83,Farfetch'd,Kanto
84,Doduo,Kanto
85,Dodrio,Kanto
86,Seel,Kanto
87,Dewgong,Kanto
88,Grimer,Kanto
89,Muk,Kanto
90,Shellder,Kanto
91,Cloyster,Kanto
92,Gastly,Kanto
93,Haunter,Kanto
94,Gengar,Kanto
95,Onix,Kanto
96,Drowzee,Kanto
97,Hypno,Kanto
98,Krabby,Kanto
99,Kingler,Kanto
100,Voltorb,Kanto
101,Electrode,Kanto
102,Exeggute,Kanto
103,Exeggutor,Kanto
104,Cubone,Kanto
105,Marowak,Kanto
106,Hitmonlee,Kanto
107,Hitmonchan,Kanto
108,Lickitung,Kanto
109,Koffing,Kanto
110,Weezing,Kanto
111,Rhyhorn,Kanto
112,Rhydon,Kanto
113,Chansey,Kanto
114,Tangela,Kanto
115,Kangaskhan,Kanto
116,Horsea,Kanto
117,Seadra,Kanto
118,Goldeen,Kanto
119,Seaking,Kanto
120,Staryu,Kanto
121,Starmie,Kanto
122,Mr. Mime,Kanto
123,Scyther,Kanto
124,Jynx,Kanto
125,Electabuzz,Kanto
126,Magmar,Kanto
127,Pinsir,Kanto
128,Tauros,Kanto
129,Magikarp,Kanto
130,Gyarados,Kanto
131,Lapras,Kanto
132,Ditto,Kanto
133,Eevee,Kanto
134,Vaporeon,Kanto
135,Jolteon,Kanto
136,Flareon,Kanto
137,Porygon,Kanto
138,Omanyte,Kanto
139,Omastar,Kanto
140,Kabuto,Kanto
141,Kabutops,Kanto
142,Aerodactyl,Kanto
143,Snorlax,Kanto
144,Articuno,Kanto
145,Zapdos,Kanto
146,Moltres,Kanto
147,Dratini,Kanto
148,Dragonair,Kanto
149,Dragonite,Kanto
150,Mewtwo,Kanto
151,Mew,Kanto
