Num,Name,Region,Type_Primary,Type_Secondary
252,Treecko,3,12,0
253,Grovyle,3,12,0
254,Sceptile,3,12,0
255,Torchic,3,10,0
256,Combusken,3,10,2
257,Blaziken,3,10,2
258,Mudkip,3,11,0
259,Marshtomp,3,11,5
260,Swampert,3,11,5
261,Poochyena,3,17,0
262,Mightyena,3,17,0
263,Zigzagoon,3,1,0
264,Linoone,3,1,0
265,Wurmple,3,7,0
266,Silcoon,3,7,0
267,Beautifly,3,7,3
268,Cascoon,3,7,0
269,Dustox,3,7,4
270,Lotad,3,11,12
271,Lombre,3,11,12
272,Ludicolo,3,11,12
273,Seedot,3,12,0
274,Nuzleaf,3,12,17
275,Shiftry,3,12,17
276,Taillow,3,1,3
277,Swellow,3,1,3
278,Wingull,3,11,3
279,Pelipper,3,11,3
280,Ralts,3,14,18
281,Kirlia,3,14,18
282,Gardevoir,3,14,18
283,Surskit,3,7,11
284,Masquerain,3,7,3
285,Shroomish,3,12,0
286,Breloom,3,12,2
287,Slakoth,3,1,0
288,Vigoroth,3,1,0
289,Slaking,3,1,0
290,Nincada,3,7,5
291,Ninjask,3,7,3
292,Shedinja,3,7,8
293,Whismur,3,1,0
294,Loudred,3,1,0
295,Exploud,3,1,0
296,Makhuita,3,2,0
297,Hariyama,3,2,0
298,Azurill,3,1,18
299,Nosepass,3,6,0
300,Skitty,3,1,0
301,Delcatty,3,1,0
302,Sableye,3,17,8
303,Mawile,3,9,18
304,Aron,3,9,6
305,Lairon,3,9,6
306,Aggron,3,9,6
307,Meditite,3,2,14
308,Medicham,3,2,14
309,Electrike,3,13,0
310,Manectric,3,13,0
311,Plusle,3,13,0
312,Minun,3,13,0
313,Volbeat,3,7,3
314,Illumise,3,7,3
315,Roselia,3,12,4
316,Gulpin,3,4,0
317,Swalot,3,4,0
318,Carvanha,3,11,17
319,Sharpedo,3,11,17
320,Wailmer,3,11,0
321,Wailord,3,11,0
322,Numel,3,10,5
323,Camerupt,3,10,5
324,Torkoal,3,10,0
325,Spoink,3,14,0
326,Grumpig,3,14,0
327,Spinda,3,1,0
328,Trapinch,3,5,0
329,Vibrava,3,5,16
330,Flygon,3,5,16
331,Cacnea,3,12,0
332,Cacturne,3,12,17
333,Swablu,3,1,3
334,Altaria,3,16,3
335,Zangoose,3,1,0
336,Seviper,3,4,0
337,Lunatone,3,6,14
338,Solrock,3,6,14
339,Barboach,3,11,5
340,Whiscash,3,11,5
341,Corphish,3,11,17
342,Crawdaunt,3,11,17
343,Baltoy,3,5,14
344,Claydol,3,5,14
345,Lileep,3,6,12
346,Cradily,3,6,12
347,Anorith,3,6,7
348,Armaldo,3,6,7
349,Feebas,3,11,0
350,Milotic,3,11,0
351,Castform,3,1,0
352,Kecleon,3,1,0
353,Shuppet,3,8,0
354,Banette,3,8,0
355,Duskull,3,8,0
356,Dusclops,3,8,0
357,Tropius,3,12,3
358,Chimecho,3,14,0
359,Absol,3,17,0
360,Wynaut,3,14,0
361,Snorunt,3,15,0
362,Glalie,3,15,0
363,Spheal,3,15,11
364,Sealeo,3,15,11
365,Walrein,3,15,11
366,Clamperl,3,11,0
367,Huntail,3,11,0
368,Gorebyss,3,11,0
369,Relicanth,3,11,6
370,Luvdisc,3,11,0
371,Bagon,3,16,0
372,Shelgon,3,16,0
373,Salamence,3,16,3
374,Beldum,3,9,14
375,Metang,3,9,14
376,Metagross,3,9,14
377,Regirock,3,6,0
378,Regice,3,15,0
379,Registeel,3,9,0
380,Latias,3,16,14
381,Latios,3,16,14
382,Kyogre,3,11,0
383,Groudon,3,5,0
384,Rayquaza,3,16,3
385,Jirachi,3,14,9
386,Deoxys,3,14,0
387,Turtwig,4,12,0
388,Grotle,4,12,0
389,Torterra,4,12,5
390,Chimchar,4,10,0
391,Monferno,4,10,2
392,Infernape,4,10,2
393,Piplup,4,11,0
394,Prinplup,4,11,0
395,Empoleon,4,11,9
396,Starly,4,1,3
397,Staravia,4,1,3
398,Staraptor,4,1,3
399,Bidoof,4,1,0
400,Bibarel,4,1,0
401,Krektot,4,7,0
402,Kricketune,4,7,0
403,Shinx,4,13,0
404,Luxio,4,13,0
405,Luxray,4,13,0
406,Budew,4,12,0
407,Roserade,4,12,4
408,Cranidos,4,6,0
409,Ramparados,4,6,0
410,Shieldon,4,6,9
411,Bastiodon,4,6,9
412,Burmy,4,7,0
413,Wormadam,4,7,0
414,Mothim,4,7,3
415,Combee,4,7,3
416,Vespiquen,4,7,3
417,Pachirisu,4,13,0
418,Buizel,4,11,0
419,Floatzel,4,11,0
420,Cherubi,4,12,0
421,Cherrim,4,12,0
422,Shellos,4,11,5
423,Gastrodon,4,11,5
424,Ambipom,4,1,0
425,Drifloon,4,8,3
426,Drifblim,4,8,3
427,Buneary,4,1,0
428,Lopunny,4,1,0
429,Mismagius,4,8,0
430,Honchkrow,4,17,3
431,Glameow,4,1,0
432,Purugly,4,1,0
433,Chingling,4,14,0
434,Stunky,4,4,17
435,Skuntank,4,4,17
436,Bronzor,4,14,9
437,Bronzong,4,14,9
438,Bonsly,4,6,0
439,Mime Jr.,4,14,18
440,Happiny,4,1,0
441,Chatot,4,1,3
442,Spiritomb,4,8,17
443,Gible,4,16,5
444,Gabite,4,16,5
445,Garchomp,4,16,5
446,Munchlax,4,1,0
447,Riolu,4,2,0
448,Lucario,4,2,9
449,Hippopotas,4,5,0
450,Hippowdon,4,5,0
451,Skorupi,4,4,7
452,Drapion,4,4,17
453,Croagunk,4,4,2
454,Toxicroak,4,4,2
455,Carnivine,4,12,0
456,Finneon,4,11,0
457,Lumineon,4,11,0
458,Mantyke,4,11,3
459,Snover,4,12,15
460,Abomasnow,4,12,15
461,Weavile,4,17,15
462,Magnezone,4,13,9
463,Lickilicky,4,1,0
464,Rhyperior,4,5,6
465,Tangrowth,4,12,0
466,Electivire,4,13,0
467,Magmortar,4,10,0
468,Togekiss,4,18,3
469,Yanmega,4,7,3
470,Leafeon,4,12,0
471,Glaceon,4,12,0
472,Gliscor,4,5,3
473,Mamoswine,4,15,5
474,Porygon-Z,4,1,0
475,Gallade,4,14,2
476,Probopass,4,6,9
477,Dusknoir,4,8,0
478,Frosslass,4,15,8
479,Rotom,4,8,13
480,Uxie,4,14,0
481,Mesprit,4,14,0
482,Azelf,4,14,0
483,Dialga,4,9,16
484,Palkia,4,11,16
485,Heatran,4,10,9
486,Regigas,4,1,0
487,Giratina,4,8,16
488,Cresselia,4,14,0
489,Phione,4,11,0
490,Manaphy,4,11,0
491,Darkrai,4,17,0
492,Shaymin,4,12,0
493,Arceus,4,1,0
494,Victini,5,14,10
495,Snivy,5,12,0
496,Servine,5,12,0
497,Serperior,5,12,0
498,Tepig,5,10,0
499,Pignite,5,10,2
500,Emboar,5,10,2
501,Oshawott,5,11,0
502,Dewott,5,11,0
503,Samurott,5,11,0
504,Patrat,5,1,0
505,Watchog,5,1,0
506,Lillipup,5,1,0
