Num,Name,Region,Type_Primary,Type_Secondary
1,Bulbasaur,1,12,4
2,Ivysaur,1,12,4
3,Venusaur,1,12,4
4,Charmander,1,10,0
5,Charmeleon,1,10,0
6,Charizard,1,10,3
7,Squirtle,1,11,0
8,Wartortle,1,11,0
9,Blastoise,1,11,0
10,Caterpie,1,7,0
11,Metapod,1,7,0
12,Butterfree,1,7,3
13,Weedle,1,7,4
14,Kakuna,1,7,4
15,Beedrill,1,7,4
16,Pidgey,1,1,3
17,Pidgeotto,1,1,3
18,Pidgeot,1,1,3
19,Rattata,1,1,0
20,Raticate,1,1,0
21,Spearow,1,1,3
22,Fearow,1,1,3
23,Ekans,1,4,0
24,Arbok,1,4,0
25,Pikachu,1,13,0
26,Raichu,1,13,0
27,Sandshrew,1,5,0
28,Sandslash,1,5,0
29,Nidoran,1,4,0
30,Nidorina,1,4,0
31,Nidoqueen,1,4,5
32,Nidoran,1,4,0
33,Nidorino,1,4,0
34,Nidoking,1,4,5
35,Clefairy,1,18,0
36,Clefable,1,18,0
37,Vuplix,1,10,0
38,Ninetales,1,10,0
39,Jigglypuff,1,1,18
40,WigglyTuff,1,1,18
41,Zubat,1,4,3
42,Golbat,1,4,3
43,Oddish,1,12,4
44,Gloom,1,12,4
45,Vileplume,1,12,4
46,Paras,1,7,12
47,Parasect,1,7,12
48,Venonat,1,7,4
49,Venomoth,1,7,4
50,Diglett,1,5,0
51,Dugtrio,1,5,0
52,Meowth,1,1,0
53,Persian,1,1,0
54,Psyduck,1,11,0
55,Golduck,1,11,0
56,Mankey,1,2,0
57,Primeape,1,2,0
58,Growlithe,1,10,0
59,Arcanine,1,10,0
60,Poliwag,1,11,0
61,Poliwhirl,1,11,0
62,Poliwrath,1,11,2
63,Abra,1,14,0
64,Kadabra,1,14,0
65,Alakazam,1,14,0
66,Machop,1,2,0
67,Machoke,1,2,0
68,Machamp,1,2,0
69,Bellsprout,1,12,4
70,Weepinbell,1,12,4
71,Victreebel,1,12,4
72,Tentacool,1,11,4
73,Tentacruel,1,11,4
74,Geodude,1,6,5
75,Graveler,1,6,5
76,Golem,1,6,5
77,Ponyta,1,10,0
78,Rapidash,1,10,0
79,Slowpoke,1,11,14
80,Slowbro,1,11,14
81,Magnemite,1,13,9
82,Magneton,1,13,9
83,Farfetch'd,1,1,3
84,Doduo,1,1,3
85,Dodrio,1,1,3
86,Seel,1,11,0
87,Dewgong,1,11,15
88,Grimer,1,4,0
89,Muk,1,4,0
90,Shellder,1,11,0
91,Cloyster,1,11,15
92,Gastly,1,8,4
93,Haunter,1,8,4
94,Gengar,1,8,4
95,Onix,1,6,5
96,Drowzee,1,14,0
97,Hypno,1,14,0
98,Krabby,1,11,0
99,Kingler,1,11,0
100,Voltorb,1,13,0
101,Electrode,1,13,0
102,Exeggute,1,12,14
103,Exeggutor,1,12,14
104,Cubone,1,5,0
105,Marowak,1,5,0
106,Hitmonlee,1,2,0
107,Hitmonchan,1,2,0
108,Lickitung,1,1,0
109,Koffing,1,4,0
110,Weezing,1,4,0
111,Rhyhorn,1,5,6
112,Rhydon,1,5,6
113,Chansey,1,1,0
114,Tangela,1,12,0
115,Kangaskhan,1,1,0
116,Horsea,1,11,0
117,Seadra,1,11,0
118,Goldeen,1,11,0
119,Seaking,1,11,0
120,Staryu,1,11,0
121,Starmie,1,11,14
122,Mr. Mime,1,14,0
123,Scyther,1,7,3
124,Jynx,1,15,14
125,Electabuzz,1,13,0
126,Magmar,1,10,0
127,Pinsir,1,7,0
128,Tauros,1,1,0
129,Magikarp,1,11,0
130,Gyarados,1,11,3
131,Lapras,1,11,15
132,Ditto,1,1,0
133,Eevee,1,1,0
134,Vaporeon,1,11,0
135,Jolteon,1,13,0
136,Flareon,1,10,0
137,Porygon,1,1,0
138,Omanyte,1,6,11
139,Omastar,1,6,11
140,Kabuto,1,6,11
141,Kabutops,1,6,11
142,Aerodactyl,1,6,3
143,Snorlax,1,1,0
144,Articuno,1,15,3
145,Zapdos,1,13,3
146,Moltres,1,10,3
147,Dratini,1,16,0
148,Dragonair,1,16,0
149,Dragonite,1,16,3
150,Mewtwo,1,14,0
151,Mew,1,14,0
